UserName,Handle,Timestamp,Text,Comments,Likes,Retweets
Kau Tetap Sahabatku,@kauttpsahabatku,2024-03-29T23:58:27.000Z,"Kalau sesat ndukung LGBT mah sesat aja. Gausa bawa-bawa islam.

Ijma' ulama' itu udah jelas sumber hukum islam. Lagian LGBT udah jelas dalil haramnya.",0,0,0
Oscar PM,@MontanezPa24251,2024-03-29T23:53:16.000Z,LGBT: ,0,0,0
,@decpride,2024-03-29T23:45:59.000Z,Betul. Urusan negara mereka sendiri lah. Yang jadi urusan kita itu jangan sama legalised LGBT terjadi di Indonesia. Udah itu  aja. Gausah ikut campur aturan negara lain.,0,0,0
Abdul,@FARHAN2Humanity,2024-03-29T23:39:56.000Z,"Kocak emg 

Justru karena kita punya akal, kita tau kalau LGBT itu bukan soal seks doang, tapi soal cinta, pengorbanan, komitmen, dsbg.

Karena kita juga punya akal, kita bisa belajar cara memuaskan diri dengan cara yang aman meski bukan lewat vaginal seks aja.",0,0,0
Deepeur 𝕏,@DeepeurX,2024-03-29T23:38:47.000Z,LGBT?._.,0,0,0
q,@firsstkp,2024-03-29T23:24:58.000Z,"Eh tp ya lucu ga sih liat fans marah marah waktu idolnya speak up dukung komunitas lgbt padahal idolnya aja tiap hari queerbaiting wkwkwkw mana lu shiperin lagi tp bisa bisanya masih bawa bawa narasi “kecewa” 

ga ada yg lebih kocak dari ini",0,0,0
cricket/wayne // waynederful day,@thesnowowls,2024-03-29T22:48:47.000Z,LGBT,0,0,0
Satu dari 1000,@KhanAjep,2024-03-29T22:44:51.000Z,"Anggap aja ini perkara khilafiyah (debatable).. kalopun ""keliru memahami"" tidak dosa.  Banyak perkara lain yg jelas2 dosa...ngga lu expose: judol, utang RIBA , perzinahan, perdagangan MIRAS, perilaku kaum sodom (LGBT) dll...",0,0,0
КсавериалнОлее,@Jefferyyyyy,2024-03-29T22:25:52.000Z,Kutuk terus tentang lgbt,0,0,0
xan,@xanarnyy,2024-03-29T22:24:40.000Z,boikot ja orang macamni lebih kepada support lgbt lagi perangai tu,0,0,0
Şahin ÇİÇEKAY,@ahi04267658,2024-03-29T22:21:03.000Z,"Dep kaybedecek 
PKK kaybedecek 
LGBT kaybedecek",0,0,0
aryy,@nebopalassar,2024-03-29T21:54:29.000Z,"orang di tiktok banyak orang tolol, menormalisasikan LGBT, sok open minded, sagapung, yang sering viral yang dongo. 

yang ke gini dikasih makan siang gratis ampe berbusa pun gabakal pinter. 

bisa jadi emang isinya kumpulan orang yang mikirnya cuman makan gratis, tidur, ngentot!",0,0,0
tabibu wa kinywa na meno,@_kakadentine_,2024-03-29T21:48:10.000Z,LGBT,0,0,0
Zombret Kampret,@ZombretK,2024-03-29T21:38:25.000Z,LGBT,0,0,0
Budak Birokrat,@umbisenior,2024-03-29T21:30:11.000Z,"Kenapa sih para gay ini malah adopsi anak kecil, tau kalian ga bakal punya anak, tp ya ngapain adopsi
Apakah utk mempertahankan kaumnya tetep eksis biar anaknya kelak gay atau membenarkan lgbt jg?",0,0,0
Tessa,@buerjuang,2024-03-29T20:57:01.000Z,Kalo gue pribadi gasuka musisi yg lgbt. Soalnya kalo yg pro lgbt itu mah terserah dia,0,0,0
manu VOY A IR A HMHAS TOUR,@manuuuaaa,2024-03-29T20:29:48.000Z,lgbt,0,0,0
༆ 𝗖𝗲𝗹𝗲𝗰𝘁𝗮☆𝗦𝗛Ȃ̈𝗕A𝗡 𓃗,@CelectaShabanUG,2024-03-29T20:21:43.000Z,Owa LGBT ? ,0,0,0
